,Tag1,Tag2,Tag3,Tag4,Tag5
2012-07-19 18:05:49.671000,Off,Tag not found,0,0,-904.505432129
2012-07-19 18:06:49.671000,Off,Tag not found,0,0,-904.516662598
2012-07-19 18:07:49.671000,Off,Tag not found,0,0,-904.527832031
2012-07-19 18:08:49.671000,Off,Tag not found,0,0,-904.5390625
2012-07-19 18:09:49.671000,Off,Tag not found,0,0,-904.550292969
2012-07-19 18:10:49.671000,Off,Tag not found,0,0,-904.561523438
2012-07-19 18:11:49.671000,Off,Tag not found,0,0,-904.572692871
2012-07-19 18:12:49.671000,Off,Tag not found,0,0,-904.58392334
2012-07-19 18:13:49.671000,Off,Tag not found,0,0,-904.595153809
2012-07-19 18:14:49.671000,Off,Tag not found,0,0,-904.606384277
2012-07-19 18:15:49.671000,Off,Tag not found,0,0,-904.617553711
2012-07-19 18:16:49.671000,Off,Tag not found,0,0,-904.62878418
2012-07-19 18:17:49.671000,Off,Tag not found,0,0,-904.640014648
2012-07-19 18:18:49.671000,Off,Tag not found,0,0,-904.651245117
2012-07-19 18:19:49.671000,Off,Tag not found,0,0,-904.662414551
2012-07-19 18:20:49.671000,Off,Tag not found,0,0,-904.67364502
2012-07-19 18:21:49.671000,Off,Tag not found,0,0,-904.684875488
2012-07-19 18:22:49.671000,Off,Tag not found,0,0,-904.696044922
2012-07-19 18:23:49.671000,Off,Tag not found,0,0,-904.707275391
2012-07-19 18:24:49.671000,Off,Tag not found,0,0,-904.718505859
2012-07-19 18:25:49.671000,Off,Tag not found,0,0,-904.729736328
2012-07-19 18:26:49.671000,Off,Tag not found,0,0,-904.740905762
2012-07-19 18:27:49.671000,Off,Tag not found,0,0,-904.75213623
2012-07-19 18:28:49.671000,Off,Tag not found,0,0,-904.763366699
2012-07-19 18:29:49.671000,Off,Tag not found,0,0,-904.774597168
2012-07-19 18:30:49.671000,Off,Tag not found,0,0,-904.785766602
2012-07-19 18:31:49.671000,Off,Tag not found,0,0,-904.79699707
2012-07-19 18:32:49.671000,Off,Tag not found,0,0,-904.808227539
2012-07-19 18:33:49.671000,Off,Tag not found,0,0,-904.819458008
2012-07-19 18:34:49.671000,Off,Tag not found,0,0,-904.830627441
2012-07-19 18:35:49.671000,Off,Tag not found,0,0,-904.84185791
2012-07-19 18:36:49.671000,Off,Tag not found,0,0,-904.853088379
2012-07-19 18:37:49.671000,Off,Tag not found,0,0,-904.864318848
2012-07-19 18:38:49.671000,Off,Tag not found,0,0,-904.875488281
2012-07-19 18:39:49.671000,Off,Tag not found,0,0,-904.88671875
2012-07-19 18:40:49.671000,Off,Tag not found,0,0,-904.897949219
2012-07-19 18:41:49.671000,Off,Tag not found,0,0,-904.909179688
2012-07-19 18:42:49.671000,Off,Tag not found,0,0,-904.920349121
2012-07-19 18:43:49.671000,Off,Tag not found,0,0,-904.93157959
2012-07-19 18:44:49.671000,Off,Tag not found,0,0,-904.942810059
2012-07-19 18:45:49.671000,Off,Tag not found,0,0,-904.954040527
2012-07-19 18:46:49.671000,Off,Tag not found,0,0,-904.965209961
2012-07-19 18:47:49.671000,Off,Tag not found,0,0,-904.97644043
2012-07-19 18:48:49.671000,Off,Tag not found,0,0,-904.987670898
2012-07-19 18:49:49.671000,Off,Tag not found,0,0,-904.998901367
2012-07-19 18:50:49.671000,Off,Tag not found,0,0,-905.010070801
2012-07-19 18:51:49.671000,Off,Tag not found,0,0,-905.02130127
2012-07-19 18:52:49.671000,Off,Tag not found,0,0,-905.032531738
2012-07-19 18:53:49.671000,Off,Tag not found,0,0,-905.043762207
2012-07-19 18:54:49.671000,Off,Tag not found,0,0,-904.472167969
2012-07-19 18:55:49.671000,Off,Tag not found,0,0,-905.066223145
2012-07-19 18:56:49.671000,Off,Tag not found,0,0,-905.077331543
2012-07-19 18:57:49.671000,Off,Tag not found,0,0,-905.088378906
2012-07-19 18:58:49.671000,Off,Tag not found,0,0,-905.099487305
2012-07-19 18:59:49.671000,Off,Tag not found,0,0,-905.110595703
2012-07-19 19:00:49.671000,Off,Tag not found,0,0,-905.121704102
2012-07-19 19:01:49.671000,Off,Tag not found,0,0,-905.1328125
2012-07-19 19:02:49.671000,Off,Tag not found,0,0,-905.143859863
2012-07-19 19:03:49.671000,Off,Tag not found,0,0,-905.154968262
2012-07-19 19:04:49.671000,Off,Tag not found,0,0,-905.16607666
2012-07-19 19:05:49.671000,Off,Tag not found,0,0,-905.177185059
2012-07-19 19:06:49.671000,Off,Tag not found,0,0,-905.188293457
2012-07-19 19:07:49.671000,Off,Tag not found,0,0,-905.199401855
2012-07-19 19:08:49.671000,Off,Tag not found,0,0,-905.210449219
2012-07-19 19:09:49.671000,Off,Tag not found,0,0,-905.221557617
2012-07-19 19:10:49.671000,Off,Tag not found,0,0,-905.232666016
2012-07-19 19:11:49.671000,Off,Tag not found,0,0,-905.243774414
2012-07-19 19:12:49.671000,Off,Tag not found,0,0,-905.254882812
2012-07-19 19:13:49.671000,Off,Tag not found,0,0,-905.265930176
2012-07-19 19:14:49.671000,Off,Tag not found,0,0,-905.277038574
2012-07-19 19:15:49.671000,Off,Tag not found,0,0,-905.288146973
2012-07-19 19:16:49.671000,Off,Tag not found,0,0,-905.299255371
2012-07-19 19:17:49.671000,Off,Tag not found,0,0,-905.31036377
2012-07-19 19:18:49.671000,Off,Tag not found,0,0,-905.321411133
2012-07-19 19:19:49.671000,Off,Tag not found,0,0,-905.332519531
2012-07-19 19:20:49.671000,Off,Tag not found,0,0,-905.34362793
2012-07-19 19:21:49.671000,Off,Tag not found,0,0,-905.354736328
2012-07-19 19:22:49.671000,Off,Tag not found,0,0,-905.365844727
2012-07-19 19:23:49.671000,Off,Tag not found,0,0,-905.37689209
2012-07-19 19:24:49.671000,Off,Tag not found,0,0,-905.388000488
2012-07-19 19:25:49.671000,Off,Tag not found,0,0,-905.399108887
2012-07-19 19:26:49.671000,Off,Tag not found,0,0,-905.410217285
